"order_info_id","order_id","tz_result","tz_money","win_code","win_result","win_money"
"1","DXH1000000001","3","188","294","3,12,19,14","391"
"2","DXH1000000002","1","120","506","3,15,10,16","0"
"3","DXH1000000003","1","1","842","1,18,14,12","1"
"4","DXH1000000004","1","1","558","3,15,18","0"
"5","DXH1000000005","1","5","285","3,12,18,15","0"
"6","DXH1000000006","1","10","433","1,14,13","21"
"7","DXH1000000007","3","5","32","3,10,13,12","10"
"8","DXH1000000008","4","4","32","3,10,13,12","0"
"9","DXH1000000009","3","5","730","1,17,13,10","0"
"10","DXH1000000010","1","3","831","1,18,13,11","6"
"11","DXH1000000010","4","3","831","1,18,13,11","0"
"12","DXH1000000011","3","3","382","1,13,18,12","0"
"13","DXH1000000012","1","4","290","1,12,19,10","8"
"14","DXH1000000013","3","5","685","1,16,18,15","0"
"15","DXH1000000014","1","8","685","1,16,18,15","17"
"16","DXH1000000015","1","7","365","3,13,16,15","0"
"17","DXH1000000016","3","5","943","1,19,14,13","0"
"18","DXH1000000017","3","5","943","1,19,14,13","0"
"19","DXH1000000018","3","10","796","1,17,19,16","0"
"20","DXH1000000019","1","10","796","1,17,19,16","21"
"21","DXH1000000020","1","20","686","2,16,18","0"
"22","DXH1000000021","1","7","475","3,14,17,15","0"
"23","DXH1000000022","1","6","475","3,14,17,15","0"
"24","DXH1000000023","3","15","605","1,16,10,15","0"
"25","DXH1000000024","3","10","559","3,15,19","21"
"26","DXH1000000025","1","10","90","2,10,19","0"
"27","DXH1000000026","3","0","965","1,19,16,15","0"
"28","DXH1000000027","3","0","231","1,12,13,11","0"
"29","DXH1000000028","3","0","369","3,13,16,19","0"
"30","DXH1000000029","1","1","489","3,14,18,19","0"
"31","DXH1000000030","1","0","489","3,14,18,19","0"
"32","DXH1000000031","1","5","489","3,14,18,19","0"
"33","DXH1000000032","1","5","3","3,10,13","0"
"34","DXH1000000033","2","1","397","3,13,19,17","0"
"35","DXH1000000034","2","10","76","3,10,17,16","0"
"36","DXH1000000035","1","0","76","3,10,17,16","0"
"37","DXH1000000036","1","1","76","3,10,17,16","0"
"38","DXH1000000037","1","10","489","3,14,18,19","0"
"39","DXH1000000038","1","0","489","3,14,18,19","0"
"40","DXH1000000039","2","0","856","1,18,15,16","0"
"41","DXH1000000040","2","5","856","1,18,15,16","0"
"42","DXH1000000041","3","20","562","1,15,16,12","0"
"43","DXH1000000042","1","5","69","3,10,16,19","0"
"44","DXH1000000043","1","10","69","3,10,16,19","0"
"45","DXH1000000044","1","20","564","1,15,16,14","42"
"46","DXH1000000045","1","20","564","1,15,16,14","42"
"47","DXH1000000046","1","20","225","3,12,15","0"
"48","DXH1000000047","1","10","225","3,12,15","0"
"49","DXH1000000048","3","10","922","1,19,12","0"
"50","DXH1000000049","3","10","922","1,19,12","0"
"51","DXH1000000050","3","10","133","3,11,13","21"
"52","DXH1000000051","3","14","133","3,11,13","29"
"53","DXH1000000052","3","10","564","1,15,16,14","0"
"54","DXH1000000053","3","9","564","1,15,16,14","0"
"55","DXH1000000054","1","10","629","3,16,12,19","0"
"56","DXH1000000055","1","10","629","3,16,12,19","0"
"57","DXH1000000056","1","10","711","1,17,11","21"
